SEX,SCHLCOLL,Arts,Chores,Class,Computer-use,Eating,Fitness,Games,Homework,Reading,Religious,Shopping,Sleepingr,Socializing,TV,Telephone,Travel,Medical-care,Personal-care,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,50,0,0,119,0,0,0,350,0,100,0,57,0,40,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,90,0,0,75,0,0,0,0,0,0,420,0,90,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,30,0,0,15,0,0,0,0,0,0,540,0,400,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,330,0,80,0,0,180,0,0,65,510,0,60,60,60,0,55,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,60,360,0,0,0,0,0,690,120,60,0,60,0,5,,,,,,,,,,,,,,,,,,,,,,,
1,5,60,0,99,0,30,0,0,345,0,0,10,363,137,240,0,125,0,25,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,80,150,0,0,120,0,145,599,85,0,0,131,0,55,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,45,0,0,0,0,0,0,420,0,885,30,0,0,60,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,90,60,0,0,60,0,0,575,0,120,0,0,0,180,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,1,0,0,65,0,120,0,0,189,10,540,185,150,0,110,0,60,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,105,0,90,0,0,60,0,0,0,720,0,270,0,75,0,60,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,285,0,60,0,0,375,0,0,0,450,0,165,0,30,0,75,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,480,0,0,90,0,60,0,0,0,0,620,0,75,0,20,0,5,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,80,0,0,720,0,0,0,330,30,150,0,20,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,150,0,0,0,0,0,180,625,130,300,0,55,0,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,245,0,0,0,105,30,0,330,45,0,35,420,0,0,10,135,0,45,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,120,210,0,90,0,0,0,0,0,0,600,0,240,0,120,0,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,60,0,0,120,0,0,690,0,0,0,480,20,0,0,10,0,60,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,0,0,0,0,0,90,160,588,15,295,0,107,0,40,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,45,0,0,0,60,0,280,600,270,90,0,77,0,8,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,150,0,0,0,0,0,40,583,0,75,15,58,0,40,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,0,0,60,0,180,0,0,720,0,120,0,0,0,360,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,0,145,0,120,0,0,330,600,0,0,0,125,0,120,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,280,0,0,140,0,0,0,0,120,0,510,0,60,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,315,0,0,75,0,0,315,0,0,0,270,0,210,0,0,0,90,,,,,,,,,,,,,,,,,,,,,,,
